id                                   ; name                                       ; type                 ; heatingLimit  ; antifreezingTemperature ; waterFraction  ; loadHours  ; isDefault  ; index  
063b5c74-3c41-4a6a-861c-520c7ad57a71 ; Niedrigenergiehaus (KfW 70)                ; MULTI_FAMILY_HOUSE   ; 12            ; 5                       ; 36             ; 1261       ; false      ; 9      
082e58d2-c352-403e-9e8a-f0d1b4bed2ee ; Niedrigstenergiehaus (KfW 40)/ Passivhaus  ; MULTI_FAMILY_HOUSE   ; 10            ; 5                       ; 86.4           ; 619        ; false      ; 11     
09cfa2a0-0ab4-4af9-baed-8928f3ec7955 ; Standard 1919-1948                         ; SINGLE_FAMILY_HOUSE  ; 17            ; 5                       ; 9              ; 1696       ; false      ; 1      
0d9aa797-da81-4bf4-b685-5d9df69aceee ; ENEV 2009/2014 (KfW 100/ 85)               ; TOWER_BLOCK          ; 12            ; 5                       ; 34             ; 1883       ; false      ; 6      
101ed957-2a93-4533-a819-e92a29929d16 ; Standard 1995-2009                         ; MULTI_FAMILY_HOUSE   ; 15            ; 5                       ; 22             ; 1596       ; false      ; 7      
1204d7da-0390-46aa-b171-c3fdf68bf37a ; Standard 1949-1957                         ; TERRACE_HOUSE        ; 15            ; 5                       ; 16             ; 1852       ; false      ; 2      
131194d3-9695-4fd0-9464-160d80e08952 ; Standard 1995-2009                         ; SINGLE_FAMILY_HOUSE  ; 15            ; 5                       ; 12             ; 1575       ; false      ; 5      
1807c7ea-37b6-4164-b6f8-60304e03544a ; Niedrigstenergiehaus (KfW 40)/ Passivhaus  ; TERRACE_HOUSE        ; 10            ; 5                       ; 69             ; 710        ; false      ; 9      
199a96d3-1391-4145-a8d6-be886a43e160 ; Standard 1995-2009                         ; TOWER_BLOCK          ; 15            ; 5                       ; 33             ; 2557       ; false      ; 5      
199bbf0b-d7e7-411d-a421-4c60977edac3 ; Standard bis 1918                          ; TERRACE_HOUSE        ; 17            ; 5                       ; 19             ; 2021       ; false      ; 0      
1b95c850-f01f-477f-b1fc-45241155863c ; Niedrigenergiehaus (KfW 55)                ; MULTI_FAMILY_HOUSE   ; 12            ; 5                       ; 43.8           ; 1223       ; false      ; 10     
264075bc-7a9f-42c7-b0bd-25813cb0fa75 ; NBL Standard 1981-1990                     ; BLOCK_OF_FLATS       ; 15            ; 5                       ; 23             ; 2091       ; false      ; 6      
2716dbfc-756d-4e0f-8756-c3f3304b4403 ; Standard 1949-1957                         ; MULTI_FAMILY_HOUSE   ; 15            ; 5                       ; 13             ; 1764       ; false      ; 3      
2de65d6a-53a2-4407-bbed-70acd6da4ffb ; Niedrigenergiehaus (KfW 70)                ; BLOCK_OF_FLATS       ; 12            ; 5                       ; 42             ; 1825       ; false      ; 9      
