id                                   ; product type  ; product group           ; manufacturer  ; name                               ; url                        ; price      ; max_power  ; min_power  ; eff. rate  ; description                                                                                                                                                                                                                                                 
fae0f236-fadb-4b58-9483-58746e94a7b8 ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ;Luft-WP;                            ;;28;;;                                                                                                                                                                                                                                                             
315f5bfd-68f6-4100-b60b-c980c865c86f ; HEAT_PUMP     ; Wasser/Wasser-Wärmepumpe  ; Viessmann     ;Wasser-WP;                            ;;230;;;                                                                                                                                                                                                                                                             
31c49aab-786e-4197-a1cf-e57a05e2cde3 ; HEAT_PUMP     ; Sole/Wasser-Wärmepumpe  ;               ; Standard-Wärmepumpe 500 kW         ;                            ;150000;500;250;4.2;                                                                                                                                                                                                                                                             
5dd39fe2-0a09-4aca-adbd-51ebfcb567d6 ; HEAT_PUMP     ; Sole/Wasser-Wärmepumpe  ;               ; Standard-Wärmepumpe 1000 kW        ;                            ;200000;1000;500;4.2;                                                                                                                                                                                                                                                             
5954a78a-881b-4baf-804d-3160813c7634 ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ; AW-Package 90 - Standard           ; https://www.viessmann.de/  ;            ;91.4;45.7;3.3; Leistung und COP beziehen sich auf den Betriebspunkt A2/W35. Luft/Wasser- Anwendung mit 2-stufige Sole/Wasser Wärmepumpe + Hydraulikmodul + Luft/Sole-Wärmetauscher, max. VL-Temp: AW 55°C (ab A +13°C), Scroll Verdichter, R410A, SPS Typ 2.0              
32d5bacb-99f1-4f15-a267-12f77cb1ce7d ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ; AW-Package 90 - low-noise          ; https://www.viessmann.de/  ;            ;91.4;45.7;3.6; Leistung und COP beziehen sich auf den Betriebspunkt A2/W35. Luft/Wasser- Anwendung mit 2-stufige Sole/Wasser Wärmepumpe + Hydraulikmodul + Luft/Sole-Wärmetauscher (low-noise), max. VL-Temp: AW 55°C (ab A +13°C), Scroll Verdichter, R410A, SPS Typ 2.0  
2589de77-fe86-4d1f-9db6-6a2ba6d187eb ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ; AW-Package 120 - Standard          ; https://www.viessmann.de/  ;            ;116.5;58.3;3.5; Leistung und COP beziehen sich auf den Betriebspunkt A2/W35. Luft/Wasser- Anwendung mit 2-stufige Sole/Wasser Wärmepumpe + Hydraulikmodul + Luft/Sole-Wärmetauscher, max. VL-Temp: AW 55°C (ab A +13°C), Scroll Verdichter, R410A, SPS Typ 2.0              
0bb9b000-e3d9-4976-b8ef-e9ab6037e965 ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ; AW-Package 120 - low-noise         ; https://www.viessmann.de/  ;            ;116.5;58.3;3.7; Leistung und COP beziehen sich auf den Betriebspunkt A2/W35. Luft/Wasser- Anwendung mit 2-stufige Sole/Wasser Wärmepumpe + Hydraulikmodul + Luft/Sole-Wärmetauscher (low-noise), max. VL-Temp: AW 55°C (ab A +13°C), Scroll Verdichter, R410A, SPS Typ 2.0  
4014eb12-266b-4758-87b4-99ae322be3d4 ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ; AW-Package 140 - Standard          ; https://www.viessmann.de/  ;            ;149.4;74.7;3.6; Leistung und COP beziehen sich auf den Betriebspunkt A2/W35. Luft/Wasser- Anwendung mit 2-stufige Sole/Wasser Wärmepumpe + Hydraulikmodul + Luft/Sole-Wärmetauscher, max. VL-Temp: AW 55°C (ab A +13°C), Scroll Verdichter, R410A, SPS Typ 2.0              
d3452aae-291d-451b-9f7a-2cf953a8a7d9 ; HEAT_PUMP     ; Luft/Wasser-Wärmepumpe  ; Viessmann     ; AW-Package 140 - low noise         ; https://www.viessmann.de/  ;            ;149.4;74.7;3.7; Leistung und COP beziehen sich auf den Betriebspunkt A2/W35. Luft/Wasser- Anwendung mit 2-stufige Sole/Wasser Wärmepumpe + Hydraulikmodul + Luft/Sole-Wärmetauscher (low-noise), max. VL-Temp: AW 55°C (ab A +13°C), Scroll Verdichter, R410A, SPS Typ 2.0  
