id                                   ; product type      ; product group          ; manufacturer  ; name                                                                      ; url                                                                                        ; price  ; building_type                                   ; power   ; type                    ; material                        ; hot water                                                                                                                                                                    ; control                                                                                                                                    ; description                         
e0fd8d7f-017d-3af7-b3f9-7dbd05f99b50 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-S5             ;        ;" Einfamilienhaus; Handel; Gewerbe              "; 25.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; TopTronic®                                                                                                                                 ;                                     
e0fd8d7f-017d-3af7-b3f9-7dbd05f99b50 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-2H-1DS-DWV  ;        ;" Einfamilienhaus; Handel; Gewerbe              "; 25.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; ohne Hilfsenergie                                                                                                                          ;                                     
5e26cbf2-f2f2-3432-b044-5c739968c9d6 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-2H-1DS-DWV  ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 32.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; ohne Hilfsenergie                                                                                                                          ;                                     
f84f3f4b-af4b-3df0-8830-ca06770b844a ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-S5             ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 37.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; TopTronic®                                                                                                                                 ;                                     
543d08b2-4878-399d-87bc-56b2879fc455 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-2H-1DS-DWV  ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 58.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; ohne Hilfsenergie                                                                                                                          ;                                     
b856e19c-e303-3fa9-85bc-8b7f1861455f ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-S5             ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 70.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; TopTronic®                                                                                                                                 ;                                     
cadbee2c-e491-3c8d-a257-81b95d7301b4 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-0H                                                           ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-S5             ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 84.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  "; keine                                                                                                                                                                        ; TopTronic®                                                                                                                                 ;                                     
9ad16f3e-bd15-3192-87a2-5c0ea3f81d84 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-1H-1DD                                                       ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-1H-0IS      ;        ;" Einfamilienhaus; Handel; Gewerbe              "; 25.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  ";" Trinkwarmwassererwärmung im Durchflussprinzip am Wärmenetz angeschlossen; Trinkwarmwasserzirkulationspumpe nicht in der Station enthalten;                                 "; TopTronic®                                                                                                                                 ;                                     
b5db3a7e-63c3-3430-b722-6900ddd7dee1 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-1H-1DD                                                       ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-1H-0IS      ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 37.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  ";" Trinkwarmwassererwärmung im Durchflussprinzip am Wärmenetz angeschlossen; Trinkwarmwasserzirkulationspumpe nicht in der Station enthalten;                                 "; TopTronic®                                                                                                                                 ;                                     
84d7cc45-4a22-37d7-8591-8de3742ca522 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-1H-1DD                                                       ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-1H-0IS      ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 70.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  ";" Trinkwarmwassererwärmung im Durchflussprinzip am Wärmenetz angeschlossen; Trinkwarmwasserzirkulationspumpe nicht in der Station enthalten;                                 "; TopTronic®                                                                                                                                 ;                                     
66a69d2c-9be3-3aa6-b0ab-c76bfbe3f988 ; TRANSFER_STATION  ; Hausübergabestationen  ; Yados         ; YADO|GIRO 1I-1H-1DD                                                       ; http://www.yados.de/pdf-katalog/yado-giro/#Waermeuebergabestation-YADO-GIRO-1I-1H-0IS      ;        ;" Mehrfamilienhaus; Handel; Gewerbe             "; 84.0    ; Plattenwärmeübertrager  ;" Edelstahl 1.4404; Cu-gelötet  ";" Trinkwarmwassererwärmung im Durchflussprinzip am Wärmenetz angeschlossen; Trinkwarmwasserzirkulationspumpe nicht in der Station enthalten;                                 "; TopTronic®                                                                                                                                 ;                                     
